
 num     #instances         #bytes  class name
----------------------------------------------
   1:         35143       10251120  [B
   2:         44133        5810752  [C
   3:          2691        2978456  [I
   4:         22587         542088  java.lang.String
   5:          4559         474752  [Ljava.lang.Object;
   6:          3477         387752  java.lang.Class
   7:          6566         210112  java.util.concurrent.ConcurrentHashMap$Node
   8:          1679         133912  [S
   9:          1848         103488  java.util.zip.ZipFile$ZipFileInputStream
  10:          6214          99424  java.lang.Object
  11:          2254          90160  java.lang.ref.Finalizer
  12:           794          69872  java.lang.reflect.Method
  13:          1374          65952  java.util.HashMap
  14:            51          61328  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  15:          1616          51712  java.util.HashMap$Node
  16:           473          45408  java.util.jar.JarFile$JarFileEntry
  17:            78          41184  io.netty.util.internal.shaded.org.jctools.queues.atomic.MpscAtomicArrayQueue
  18:           642          41088  java.net.URL
  19:           539          38808  java.lang.reflect.Field
  20:           835          33400  java.util.TreeMap$Entry
  21:          1382          33176  [Ljava.lang.Class;
  22:           566          31696  jdk.internal.org.objectweb.asm.Item
  23:           375          30000  java.util.zip.ZipEntry
  24:          1244          29856  java.lang.StringBuilder
  25:           722          28880  java.lang.ClassNotFoundException
  26:           295          28848  [Ljava.util.HashMap$Node;
  27:           433          27712  io.netty.buffer.PoolSubpage
  28:          1084          26016  java.net.URLClassLoader$1
  29:           586          23440  java.lang.ref.SoftReference
  30:           290          23200  java.lang.reflect.Constructor
  31:           544          22296  [Ljava.lang.String;
  32:           370          20720  java.lang.invoke.MemberName
  33:            22          20000  [Ljdk.internal.org.objectweb.asm.Item;
  34:          1105          17680  java.util.HashSet
  35:           422          16880  java.util.WeakHashMap$Entry
  36:           420          16800  java.util.LinkedHashMap$Entry
  37:           415          16600  java.lang.invoke.MethodType
  38:           503          16096  java.util.Hashtable$Entry
  39:           492          15744  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
  40:           242          13552  java.lang.Class$ReflectionData
  41:           407          13024  java.security.CodeSource
  42:           369          11808  sun.misc.URLClassPath$JarLoader$2
  43:           284          11360  sun.nio.fs.WindowsPath
  44:           138          11088  [Ljava.util.WeakHashMap$Entry;
  45:           341          10912  sun.misc.FDBigInteger
  46:           443          10632  java.lang.StringBuffer
  47:           189          10584  java.lang.Package
  48:            25          10320  [Lio.netty.buffer.PoolSubpage;
  49:           177           9912  java.util.zip.ZipFile$ZipFileInflaterInputStream
  50:            41           9184  jdk.internal.org.objectweb.asm.MethodWriter
  51:           280           8960  java.lang.ref.WeakReference
  52:           100           8808  [Lcom.intellij.util.containers.hash.LinkedHashMap$Entry;
  53:           271           8672  java.lang.invoke.LambdaForm$Name
  54:           340           8160  org.apache.log4j.CategoryKey
  55:           320           7680  java.util.jar.Attributes$Name
  56:           124           7440  [Ljava.lang.ref.SoftReference;
  57:           128           7168  sun.nio.cs.UTF_8$Encoder
  58:            19           7144  java.lang.Thread
  59:           217           6944  java.io.File
  60:           286           6864  java.util.ArrayList
  61:           138           6624  java.util.WeakHashMap
  62:           116           6496  sun.misc.URLClassPath$JarLoader
  63:           100           6400  java.util.jar.JarFile
  64:            26           6176  [Ljava.util.Hashtable$Entry;
  65:           257           6168  java.lang.Long
  66:           112           6152  [Ljava.lang.reflect.Method;
  67:           368           5888  sun.net.www.ParseUtil
  68:           138           5520  sun.nio.cs.UTF_8$Decoder
  69:            85           5440  sun.nio.ch.FileChannelImpl
  70:           153           4896  java.lang.ref.ReferenceQueue
  71:            99           4752  java.lang.invoke.LambdaForm
  72:           118           4720  java.io.FileDescriptor
  73:           295           4720  java.lang.Integer
  74:           107           4584  [Ljava.lang.invoke.LambdaForm$Name;
  75:           141           4512  java.lang.invoke.DirectMethodHandle
  76:            97           4432  [J
  77:             4           4288  [Ljava.nio.ByteBuffer;
  78:             5           4240  [Lio.netty.util.Recycler$DefaultHandle;
  79:             2           4144  [Ljava.nio.channels.SelectionKey;
  80:           103           4120  org.apache.log4j.Logger
  81:           256           4096  java.lang.Byte
  82:           256           4096  java.lang.Short
  83:            71           3976  java.util.LinkedHashMap
  84:           124           3968  java.util.zip.ZipCoder
  85:            70           3920  java.lang.invoke.MethodTypeForm
  86:            61           3904  java.util.concurrent.ConcurrentHashMap
  87:           115           3680  java.util.AbstractList$Itr
  88:           144           3536  [Ljava.lang.reflect.Constructor;
  89:           104           3512  [[C
  90:            62           3472  java.beans.MethodDescriptor
  91:           104           3328  sun.nio.fs.WindowsChannelFactory$Flags
  92:            19           3192  jdk.internal.org.objectweb.asm.ClassWriter
  93:           132           3168  sun.reflect.NativeConstructorAccessorImpl
  94:            48           3072  java.util.stream.ReferencePipeline$2
  95:            54           3056  [Ljava.lang.reflect.Field;
  96:           125           3000  java.lang.invoke.LambdaForm$NamedFunction
  97:           125           3000  java.util.ArrayDeque
  98:            29           2944  [Ljava.lang.invoke.MethodHandle;
  99:            72           2880  io.netty.buffer.PoolChunkList
 100:           118           2832  java.beans.MethodRef
 101:            44           2816  jdk.internal.org.objectweb.asm.Label
 102:            27           2808  sun.net.www.protocol.file.FileURLConnection
 103:            50           2800  java.util.stream.ReferencePipeline$Head
 104:           115           2760  java.util.LinkedList$Node
 105:            49           2744  com.intellij.util.containers.SLRUMap$1
 106:            49           2744  com.intellij.util.containers.SLRUMap$2
 107:            84           2688  org.apache.log4j.ProvisionNode
 108:            54           2592  java.util.zip.Inflater
 109:           104           2496  jdk.internal.org.objectweb.asm.ByteVector
 110:           155           2480  java.lang.ref.ReferenceQueue$Lock
 111:           102           2448  java.io.ExpiringCache$Entry
 112:            99           2376  com.sun.org.apache.xerces.internal.util.SymbolTable$Entry
 113:            72           2304  io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 114:            46           2208  java.nio.HeapByteBuffer
 115:           133           2128  sun.reflect.DelegatingConstructorAccessorImpl
 116:            52           2080  java.security.ProtectionDomain
 117:            43           2064  sun.util.locale.LocaleObjectCache$CacheEntry
 118:           128           2048  java.lang.Character
 119:            85           2040  sun.nio.ch.NativeThreadSet
 120:            28           2016  java.beans.PropertyDescriptor
 121:            62           1984  io.netty.util.internal.LongAdderCounter
 122:            22           1936  com.intellij.util.io.PagedFileStorage
 123:            48           1920  java.util.HashMap$EntrySpliterator
 124:            60           1920  java.util.LinkedList
 125:            24           1920  sun.net.www.protocol.jar.URLJarFile
 126:            39           1872  java.nio.HeapCharBuffer
 127:            57           1824  com.intellij.util.containers.ConcurrentIntObjectHashMap$Node
 128:            74           1776  sun.nio.fs.WindowsPathParser$Result
 129:            36           1728  gnu.trove.THashMap
 130:            14           1696  [Z
 131:            53           1696  java.io.FilePermission
 132:            42           1680  java.io.ObjectStreamField
 133:            16           1664  java.lang.invoke.InnerClassLambdaMetafactory
 134:            66           1584  java.security.Provider$ServiceKey
 135:             1           1568  [[B
